closetCleaner Report:
=====================

                     Name |      Count |             Location | Jobs Used                                                                                |                                                    Long Name
         Querkening Brais |         28 |                 Sack | GEO,WHM,SMN,SCH,BLM,BRD                                                                  |                                             querkening brais
        Azimuth Gloves +2 |         28 |           Wardrobe 4 | GEO                                                                                      |                                            azimuth gloves +2
               Vanya Hood |         29 |                 Sack | GEO,WHM,SMN,SCH,BLM,BRD                                                                  |                                                   vanya hood
           Tsoa. Crossbow |         29 |               Safe 2 | RNG,THF,WAR                                                                              |                                           tsoabichi crossbow
               Chaac Belt |         29 |             Wardrobe | BST,NIN,BLU,DNC,MNK,THF,SCH,PLD                                                          |                                                   chaac belt
              Bolelabunga |         29 |           Wardrobe 3 | GEO,WHM,RDM,SMN,SCH,BLM,BRD                                                              |                                                  Bolelabunga
          Azimuth Hood +2 |         30 |                 Case | GEO                                                                                      |                                              azimuth hood +2
           Andoaa Earring |         30 |           Wardrobe 2 | GEO,WHM,SMN,RUN,SCH,BLM,BRD                                                              |                                               andoaa earring
            Gozuki Mezuki |         30 |           Wardrobe 3 | BST,DRG,NIN,COR,BLU,RNG,PUP,THF,WAR,BRD                                                  |                                                Gozuki Mezuki
            Gyve Trousers |         30 |              Satchel | GEO,NIN,BLU,RDM,RNG,PUP,SMN,SCH,BLM,BRD                                                  |                                                gyve trousers
         Arbatel Pants +3 |         31 |                 Sack | GEO,RUN,SCH                                                                              |                                             arbatel pants +3
           Befouled Crown |         31 |               Safe 2 | GEO,WHM,RDM,SMN,SCH,BLM                                                                  |                                               befouled crown
            Evoker's Ring |         31 |           Wardrobe 2 | SMN                                                                                      |                                                evoker's ring
                Homiliary |         31 |               Safe 2 | WHM,RDM,RUN,SCH                                                                          |                                                    homiliary
                     Musa |         31 |                 Sack | SCH                                                                                      |                                                         Musa
           Ahosi Leggings |         31 |                 Safe | NIN,COR,BLU,DNC,MNK,RNG,PUP,RUN,THF                                                      |                                               ahosi leggings
              Zodiac Ring |         32 |           Wardrobe 2 | GEO,RDM,SCH,BLM                                                                          |                                                  zodiac ring
             Strendu Ring |         32 |           Wardrobe 2 | GEO,WHM,BLU,RDM,SCH,BLM                                                                  |                                                 strendu ring
          Assid. Pants +1 |         32 |                 Sack | GEO,WHM,SMN,SCH,BLM,BRD                                                                  |                                           assiduity pants +1
              Pahtli Cape |         32 |             Wardrobe | GEO,WHM,BLU,SMN,SCH,BLM,BRD                                                              |                                                  pahtli cape
              Naji's Loop |         33 |           Wardrobe 2 | BST,GEO,WHM,DRG,BLU,DNC,MNK,PUP,SMN,RUN,THF,WAR,SCH,BLM,BRD,PLD,SAM                      |                                                  Naji's loop
             Pitchfork +1 |         33 |            NOT FOUND | NIN,BLU,THF,WAR,BLM,SAM                                                                  |                                                 pitchfork +1
         Assim. Jubbah +3 |         34 |              Satchel | BLU                                                                                      |                                      assimilator's jubbah +3
            Gwati Earring |         34 |           Wardrobe 4 | BST,GEO,WHM,DRG,NIN,COR,BLU,DNC,MNK,RDM,RNG,PUP,SMN,RUN,THF,WAR,SCH,BRD,PLD,SAM          |                                                gwati earring
        Hiza. Sune-Ate +2 |         34 |           Wardrobe 4 | NIN,MNK,PUP,SAM                                                                          |                                         Hizamaru sune-ate +2
              Taming Sari |         34 |                 Case | DNC,THF                                                                                  |                                                  taming sari
       Arbatel Bracers +2 |         34 |               Locker | GEO,RUN,SCH                                                                              |                                           arbatel bracers +2
          Sakpata's Sword |         35 |              Satchel | BLU,RDM,PLD                                                                              |                                              Sakpata's sword
        Erilaz Earring +1 |         35 |                 Sack | RUN                                                                                      |                                            erilaz earring +1
          Segomo's Mantle |         35 |               Locker | MNK                                                                                      |                                              Segomo's mantle
                   Ginsen |         35 |           Wardrobe 3 | DRG,BLU,MNK,RDM                                                                          |                                                       Ginsen
         Friomisi Earring |         36 |           Wardrobe 2 | GEO,WHM,NIN,COR,BLU,DNC,MNK,RDM,RUN,THF,SCH,BLM                                          |                                             friomisi earring
          Arbatel Gown +3 |         36 |                 Safe | GEO,RUN,SCH                                                                              |                                              arbatel gown +3
       Odyssean Gauntlets |         36 |              Satchel | WAR                                                                                      |                                           odyssean gauntlets
        Merlinic Crackows |         36 |              Satchel | GEO,RDM,SMN,SCH,BLM                                                                      |                                            merlinic crackows
          Jokushu Haidate |         36 |               Safe 2 | BST,NIN,MNK,WAR,BRD,SAM                                                                  |                                              jokushu haidate
        Arbatel Bonnet +2 |         37 |                 Sack | GEO,RUN,SCH                                                                              |                                            arbatel bonnet +2
         Sancus Sachet +1 |         37 |                 Case | SMN                                                                                      |                                             sancus sachet +1
        Hashishin Tayt +2 |         37 |                 Case | BLU                                                                                      |                                            hashishin tayt +2
          Fili Earring +2 |         38 |                 Sack | BRD                                                                                      |                                              fili earring +2
         Barkaro. Earring |         38 |           Wardrobe 2 | GEO,SCH,BLM                                                                              |                                            barkarole earring
       Steelflash Earring |         39 |           Wardrobe 2 | MNK,SMN,SCH,BLM,PLD,SAM                                                                  |                                           steelflash earring
              Reiki Cloak |         39 |             Wardrobe | BST,DRG,BLU,DNC,MNK,RDM,RNG,RUN,THF,WAR,BRD,PLD,SAM                                      |                                                  reiki cloak
         Mochi. Hakama +3 |         40 |           Wardrobe 4 | NIN                                                                                      |                                          mochizuki hakama +3
        Hiza. Haramaki +2 |         40 |           Wardrobe 4 | NIN,MNK,PUP,SAM                                                                          |                                         Hizamaru haramaki +2
               Anu Torque |         40 |             Wardrobe | BST,DRG,MNK,RDM,RNG,RUN,THF                                                              |                                                   Anu torque
              Mars's Ring |         40 |           Wardrobe 2 | GEO,WHM,BLU,RDM,SMN,SCH,BLM,BRD                                                          |                                                  Mars's ring
             Loxotic Mace |         41 |                 Case | RUN,WAR                                                                                  |                                                 loxotic mace
       Brigantia's Mantle |         41 | Wardrobe 4, Wardrobe 4 | DRG                                                                                      |                                           Brigantia's mantle
              Skullrender |         42 |               Locker | BST                                                                                      |                                                  skullrender
              Yemaya Belt |         42 |             Wardrobe | BST,WHM,NIN,BLU,MNK,RNG,RUN,THF,BRD,SAM                                                  |                                                  yemaya belt
                    Dunna |         43 |               Safe 2 | GEO                                                                                      |                                                        Dunna
       Hattori Earring +1 |         43 |             Wardrobe | NIN                                                                                      |                                           hattori earring +1
        Hattori Kyahan +2 |         44 |               Locker | NIN                                                                                      |                                            hattori kyahan +2
            Luminary Sash |         44 |             Wardrobe | GEO,WHM,BLU,RDM,SCH,BLM,BRD                                                              |                                                luminary sash
        Orunmila's Torque |         45 |             Wardrobe | BST,GEO,WHM,DRG,NIN,COR,BLU,DNC,MNK,RDM,RNG,PUP,SMN,RUN,THF,WAR,SCH,BLM,BRD,PLD,SAM      |                                            Orunmila's torque
                    Odium |         46 |           Wardrobe 4 | BST,NIN,COR,WAR                                                                          |                                                        Odium
         Tripudio Earring |         46 |           Wardrobe 2 | BST,DRG,NIN,PUP,WAR,PLD,SAM                                                              |                                             tripudio earring
         Tali'ah Sera. +2 |         47 |               Safe 2 | BST,PUP,SMN                                                                              |                                         tali'ah seraweels +2
             Trux Earring |         47 |           Wardrobe 2 | GEO,WHM,NIN,COR,BLU,PUP,SMN,SCH,BLM,BRD,PLD,SAM                                          |                                                 trux earring
           Hiza. Somen +2 |         48 |           Wardrobe 3 | MNK,PUP,SAM                                                                              |                                            Hizamaru somen +2
            Skormoth Mask |         49 |               Locker | BST,NIN,DNC,MNK,RUN,THF,WAR                                                              |                                                skormoth mask
         Chev. Earring +1 |         49 |           Wardrobe 4 | PLD                                                                                      |                                       chevalier's earring +1
               Skinflayer |         50 |               Locker | DNC,THF,BRD                                                                              |                                                   Skinflayer
        Moonshade Earring |         51 |           Wardrobe 2 | BST,GEO,WHM,DRG,NIN,COR,BLU,DNC,RDM,SMN,RUN,SCH,BLM,BRD,PLD                              |                                            moonshade earring
          Toutatis's Cape |         51 |                 Case | THF                                                                                      |                                              Toutatis's cape
        Kasuga Earring +1 |         52 |              Satchel | SAM                                                                                      |                                            kasuga earring +1
             Kumbira Cape |         52 |                 Sack | GEO,BLU,SCH,BLM,BRD                                                                      |                                                 kumbira cape
         Hattori Zukin +2 |         52 |                 Safe | NIN                                                                                      |                                             hattori zukin +2
         Thereoid Greaves |         52 |           Wardrobe 4 | BST,DRG,BLU,RNG,RUN,WAR,SAM                                                              |                                             thereoid greaves
      Hashishin Mintan +2 |         53 |              Satchel | BLU                                                                                      |                                          hashishin mintan +2
                 Perun +1 |         54 |             Wardrobe | RNG,RUN,WAR                                                                              |                                                     Perun +1
             Nusku Shield |         54 |           Wardrobe 4 | COR,RNG                                                                                  |                                                 Nusku shield
       Hiza. Hizayoroi +2 |         54 |                 Safe | NIN,MNK,PUP,SAM                                                                          |                                        Hizamaru hizayoroi +2
             Sangoma Ring |         54 |           Wardrobe 4 | BST,GEO,WHM,DRG,NIN,COR,BLU,DNC,MNK,RDM,RNG,PUP,SMN,RUN,THF,WAR,SCH,BLM,BRD,PLD,SAM      |                                                 sangoma ring
          Pumm. Lorica +3 |         55 |               Safe 2 | WAR                                                                                      |                                         pummeler's lorica +3
           Hurch'lan Sash |         55 |             Wardrobe | BST,PUP                                                                                  |                                               hurch'lan sash
               Embla Sash |         55 |             Wardrobe | GEO,WHM,BLU,RDM,SMN,SCH,BLM,BRD                                                          |                                                   Embla sash
           Artio's Mantle |         56 |               Safe 2 | BST                                                                                      |                                               Artio's mantle
        Wakido Haidate +3 |         56 |                 Sack | SAM                                                                                      |                                            wakido haidate +3
               Kustawi +1 |         56 |               Safe 2 | COR,RNG                                                                                  |                                                   kustawi +1
          Phorcys Korazin |         58 |           Wardrobe 3 | BST,DRG,PLD                                                                              |                                              Phorcys korazin
               Enki Strap |         59 |           Wardrobe 3 | GEO,WHM,RDM,SCH,BLM,BRD                                                                  |                                                   Enki strap
         Tali'ah Gages +2 |         59 |              Satchel | BST,PUP,SMN                                                                              |                                             tali'ah gages +2
       Hashishin Kavuk +2 |         59 |              Satchel | BLU                                                                                      |                                           hashishin kavuk +2
           Mantoptera Eye |         59 |               Locker | BLU,MNK                                                                                  |                                               mantoptera eye
              Emicho Hose |         60 |               Locker | BST,WAR,PLD                                                                              |                                                  emicho hose
        Tali'ah Turban +2 |         60 |               Safe 2 | BST,PUP,SMN                                                                              |                                            tali'ah turban +2
               Canny Cape |         61 |                 Sack | DNC,THF                                                                                  |                                                   canny cape
          Telchine Gloves |         61 |               Safe 2 | GEO,WHM,BLU,RDM,SMN,SCH,BLM,BRD                                                          |                                              telchine gloves
              Prolix Ring |         62 |           Wardrobe 2 | BST,GEO,WHM,DRG,NIN,COR,BLU,DNC,MNK,RDM,RNG,PUP,SMN,RUN,THF,WAR,SCH,BLM,BRD,PLD,SAM      |                                                  prolix ring
       Smertrios's Mantle |         63 |        Satchel, Sack | SAM                                                                                      |                                           Smertrios's mantle
              Kishar Ring |         63 |           Wardrobe 2 | GEO,WHM,NIN,COR,BLU,RDM,SMN,RUN,SCH,BLM,BRD,PLD                                          |                                                  Kishar ring
           Nukumi Earring |         63 |           Wardrobe 3 | BST                                                                                      |                                               nukumi earring
        Andartia's Mantle |         64 |   Safe 2, Wardrobe 4 | NIN                                                                                      |                                            Andartia's mantle
                Pole Grip |         65 |           Wardrobe 3 | BST,NIN,COR,RNG,PUP,THF,PLD                                                              |                                                    pole grip
            Twilight Cape |         65 |                 Sack | GEO,RDM,SCH,BLM                                                                          |                                                Twilight cape
         Valorous Greaves |         65 |           Wardrobe 4 | BST,DRG,WAR,SAM                                                                          |                                             valorous greaves
          Hachirin-no-Obi |         66 |             Wardrobe | GEO,RDM,SCH,BLM                                                                          |                                              hachirin-no-obi
          Cichol's Mantle |         67 |              Satchel | WAR                                                                                      |                                              Cichol's mantle
        Phalangite Mantle |         67 |             Wardrobe | BST,DRG,NIN,BLU,MNK,RNG,RUN,THF,WAR,BRD,SAM                                              |                                            phalangite mantle
         Ethereal Earring |         67 |           Wardrobe 2 | GEO,WHM,DRG,BLU,RDM,RUN,SCH,BLM,PLD                                                      |                                             ethereal earring
            Vengeful Ring |         68 |           Wardrobe 2 | BST,GEO,WHM,DRG,NIN,BLU,DNC,MNK,RNG,PUP,SMN,RUN,THF,WAR,SCH,BLM,PLD,SAM                  |                                                vengeful ring
       Oshasha's Treatise |         69 |           Wardrobe 3 | BST,GEO,WHM,NIN,BLU,RDM,SMN,SCH,BLM,PLD                                                  |                                           Oshasha's treatise
        Aya. Cosciales +2 |         69 |               Locker | WHM,BLU,RDM,RUN,BRD                                                                      |                                          ayanmo cosciales +2
      Sulevia's Plate. +2 |         70 |           Wardrobe 4 | DRG,WAR,PLD                                                                              |                                       Sulevia's platemail +2
               Sulla Belt |         70 |             Wardrobe | BST,DRG,NIN,BLU,DNC,RDM,RNG,RUN,THF,WAR,BRD,SAM                                          |                                                   sulla belt
           Marin Staff +1 |         70 |                 Case | GEO,WHM,RDM,SCH,BLM,BRD                                                                  |                                               marin staff +1
        Jhakri Coronal +2 |         72 |                 Sack | GEO,BLU,RDM,SCH,BLM                                                                      |                                            jhakri coronal +2
          Infused Earring |         72 |           Wardrobe 2 | BST,DRG,NIN,COR,BLU,DNC,MNK,RNG,PUP,RUN,THF,WAR,PLD,SAM                                  |                                              infused earring
      Tali'ah Crackows +2 |         72 |                 Sack | BST,PUP,SMN                                                                              |                                          tali'ah crackows +2
        Pemphredo Tathlum |         73 |           Wardrobe 3 | GEO,WHM,NIN,BLU,RDM,RUN,SCH,BLM                                                          |                                            pemphredo tathlum
        Sacro Breastplate |         73 |           Wardrobe 4 | BST,DRG,WAR,PLD                                                                          |                                            sacro breastplate
         Metamor. Ring +1 |         76 |           Wardrobe 3 | BST,GEO,WHM,DRG,NIN,COR,BLU,DNC,MNK,RDM,PUP,RUN,THF,WAR,SCH,BLM,BRD,SAM                  |                                            metamorph ring +1
             Eschan Stone |         76 |             Wardrobe | GEO,WHM,NIN,COR,BLU,MNK,RDM,RNG,PUP,SMN,RUN,THF,WAR,SCH,BLM,SAM                          |                                                 eschan stone
       Enervating Earring |         76 |               Locker | GEO,WHM,NIN,COR,BLU,RDM,RNG,PUP,SMN,THF,WAR,BLM,BRD,PLD,SAM                              |                                           enervating earring
           Herculean Vest |         76 |           Wardrobe 4 | NIN,BLU,MNK,RNG,PUP,RUN,THF                                                              |                                               herculean vest
                 Yamarang |         77 |             Wardrobe | NIN,DNC,RUN,THF                                                                          |                                                     yamarang
           Renaye Ring +1 |         79 |           Wardrobe 2 | BST,GEO,WHM,DRG,BLU,RDM,SMN,RUN,SCH,BLM,BRD                                              |                                               Renaye ring +1
             K'ayres Ring |         79 |           Wardrobe 2 | BST,DRG,NIN,BLU,DNC,MNK,SMN,RUN,THF,WAR,PLD,SAM                                          |                                                 k'ayres ring
       Flam. Manopolas +2 |         79 |           Wardrobe 4 | DRG,WAR,PLD,SAM                                                                          |                                          flamma manopolas +2
        Skulk. Earring +1 |         81 |           Wardrobe 4 | THF                                                                                      |                                         skulker's earring +1
           Adhemar Bonnet |         81 |                 Case | NIN,COR,BLU,MNK,RNG,RUN,THF                                                              |                                               adhemar bonnet
            Moonbeam Ring |         81 |           Wardrobe 2 | BST,DRG,BLU,DNC,RUN,THF,WAR,BRD,PLD                                                      |                                                moonbeam ring
           Jhakri Robe +2 |         82 |           Wardrobe 4 | GEO,RDM,SCH,BLM                                                                          |                                               jhakri robe +2
        Incanter's Torque |         85 |             Wardrobe | GEO,WHM,NIN,BLU,RDM,SMN,RUN,THF,SCH,BLM,BRD                                              |                                            incanter's torque
          Mauler's Mantle |         86 |                 Safe | WAR                                                                                      |                                              mauler's mantle
        Pumm. Calligae +2 |         86 |               Locker | WAR                                                                                      |                                       pummeler's calligae +2
           Mummu Kecks +2 |         87 |               Locker | NIN,COR,DNC,MNK,RNG,THF                                                                  |                                               Mummu kecks +2
              Knobkierrie |         89 |           Wardrobe 3 | DRG,MNK,RUN,WAR,SAM                                                                      |                                                  knobkierrie
       Tatena. Harama. +1 |         91 |                 Safe | NIN,MNK,RNG,WAR,SAM                                                                      |                                        tatenashi haramaki +1
          Dudgeon Earring |         92 |           Wardrobe 2 | BST,GEO,WHM,DRG,NIN,BLU,DNC,MNK,RNG,SMN,RUN,THF,WAR,SCH,BLM,BRD,PLD,SAM                  |                                              dudgeon earring
              Kumbhakarna |         92 |               Locker | BST,COR,RUN,WAR,PLD                                                                      |                                                  Kumbhakarna
       Flam. Gambieras +2 |         93 |           Wardrobe 4 | DRG,WAR,PLD,SAM                                                                          |                                          flamma gambieras +2
           Herculean Helm |         93 | Wardrobe 4, Wardrobe 4 | NIN,BLU,MNK,RNG,RUN,THF                                                                  |                                               herculean helm
        Sulevia's Mask +2 |         93 |           Wardrobe 3 | DRG,WAR,PLD                                                                              |                                            Sulevia's mask +2
             Demonry Core |         93 |              Satchel | BST                                                                                      |                                                 demonry core
          Shulmanu Collar |         95 |             Wardrobe | BST,PUP,SMN                                                                              |                                              Shulmanu collar
          Mummu Wrists +2 |         95 |               Locker | NIN,COR,DNC,MNK,RNG,THF                                                                  |                                              Mummu wrists +2
                 Naegling |         97 |             Wardrobe | BST,DRG,NIN,COR,BLU,THF,WAR,BRD,PLD                                                      |                                                     Naegling
          Jhakri Slops +2 |         98 |           Wardrobe 4 | GEO,BLU,RDM,SCH,BLM                                                                      |                                              jhakri slops +2
            Valorous Mask |         99 |           Wardrobe 3 | BST,DRG,WAR,SAM                                                                          |                                                valorous mask
       Herculean Trousers |        101 |               Safe 2 | NIN,COR,BLU,DNC,RNG,RUN,THF                                                              |                                           herculean trousers
            Valorous Mail |        103 |           Wardrobe 3 | BST,WAR,PLD,SAM                                                                          |                                                valorous mail
            Genmei Shield |        104 |            Inventory | GEO,WHM,BLU,RDM,SMN,SCH,BLM,BRD                                                          |                                                genmei shield
              Suppanomimi |        105 |           Wardrobe 2 | COR,BLU,DNC,RNG,THF                                                                      |                                                  suppanomimi
       Jhakri Pigaches +2 |        106 |               Locker | GEO,BLU,RDM,SCH,BLM                                                                      |                                           jhakri pigaches +2
        Aya. Zucchetto +2 |        107 |            Inventory | WHM,RDM,RUN,BRD                                                                          |                                          ayanmo zucchetto +2
           Eabani Earring |        107 |           Wardrobe 2 | BST,GEO,DRG,NIN,COR,BLU,DNC,MNK,RDM,RNG,PUP,SMN,RUN,THF,WAR,SCH,BLM,BRD,PLD,SAM          |                                               eabani earring
        Ayanmo Corazza +2 |        110 |               Safe 2 | WHM,BLU,RDM,RUN,BRD                                                                      |                                            ayanmo corazza +2
         Overbearing Ring |        110 |           Wardrobe 2 | BST,GEO,WHM,DRG,NIN,COR,BLU,DNC,MNK,RDM,RNG,PUP,SMN,RUN,THF,WAR,SCH,BLM,BRD,PLD,SAM      |                                             overbearing ring
           Solemnity Cape |        115 |             Wardrobe | BST,GEO,WHM,NIN,COR,BLU,DNC,MNK,RDM,RNG,PUP,SMN,RUN,THF,WAR,SCH,BLM,BRD,PLD,SAM          |                                               solemnity cape
               Rajas Ring |        115 |           Wardrobe 2 | BST,GEO,WHM,DRG,NIN,BLU,DNC,MNK,RDM,SMN,RUN,THF,WAR,SCH,BLM,BRD,PLD,SAM                  |                                                   rajas ring
             Boii Earring |        116 |           Wardrobe 3 | WAR                                                                                      |                                                 boii earring
          Jhakri Cuffs +2 |        116 |                 Sack | GEO,BLU,RDM,SCH,BLM                                                                      |                                              jhakri cuffs +2
            Valorous Hose |        116 |           Wardrobe 4 | BST,DRG,WAR,PLD,SAM                                                                      |                                                valorous hose
           Brutal Earring |        122 |           Wardrobe 2 | BST,GEO,WHM,DRG,NIN,COR,BLU,DNC,MNK,RDM,RNG,PUP,SMN,RUN,THF,WAR,SCH,BLM,BRD,PLD,SAM      |                                               brutal earring
          Herculean Boots |        123 |               Locker | NIN,BLU,DNC,MNK,RNG,RUN,THF                                                              |                                              herculean boots
        Aya. Manopolas +2 |        130 |                 Case | WHM,BLU,RDM,RUN,BRD                                                                      |                                          ayanmo manopolas +2
        Aya. Gambieras +2 |        130 |                 Sack | WHM,BLU,RDM,RUN,BRD                                                                      |                                          ayanmo gambieras +2
              Deliverance |        131 |           Wardrobe 4 | BST,THF,WAR,PLD,SAM                                                                      |                                                  Deliverance
      Sulev. Gauntlets +2 |        132 |           Wardrobe 4 | DRG,WAR,PLD                                                                              |                                       Sulevia's gauntlets +2
       Malignance Chapeau |        133 |           Wardrobe 4 | BST,NIN,BLU,MNK,RDM,PUP,THF                                                              |                                           malignance chapeau
               Apate Ring |        134 |           Wardrobe 2 | BST,GEO,WHM,NIN,COR,BLU,DNC,RDM,RNG,SMN,THF,SCH,BLM,BRD,PLD                              |                                                   apate ring
             Ioskeha Belt |        137 |            NOT FOUND | RUN,WAR,SAM                                                                              |                                                 ioskeha belt
          Atheling Mantle |        142 |             Wardrobe | BST,DRG,NIN,BLU,DNC,MNK,RUN,BRD,PLD,SAM                                                  |                                              atheling mantle
              Lupine Cape |        147 |             Wardrobe | BST,DRG,NIN,COR,BLU,DNC,MNK,RDM,RNG,PUP,RUN,THF,WAR,BRD,PLD,SAM                          |                                                  lupine cape
             Buquwik Cape |        148 |             Wardrobe | BST,GEO,WHM,COR,BLU,RDM,RNG,PUP,SMN,THF,SCH,BLM,BRD,PLD                                  |                                                 buquwik cape
       Sulev. Leggings +2 |        149 |           Wardrobe 4 | DRG,WAR,PLD                                                                              |                                        Sulevia's leggings +2
        Asperity Necklace |        149 |             Wardrobe | NIN,BLU,DNC,MNK,RNG,RUN,THF,WAR,BRD,PLD                                                  |                                            asperity necklace
          Plat. Mog. Belt |        151 |             Wardrobe | BST,GEO,WHM,DRG,NIN,COR,BLU,DNC,MNK,RDM,RNG,PUP,SMN,RUN,THF,WAR,SCH,BLM,BRD,PLD,SAM      |                                         platinum moogle belt
            Thrud Earring |        151 |           Wardrobe 4 | BST,DRG,WAR,PLD,SAM                                                                      |                                                Thrud earring
                   Khonsu |        151 |           Wardrobe 3 | GEO,DRG,RUN,WAR,SCH,BLM,SAM                                                              |                                                       Khonsu
       Etiolation Earring |        152 |           Wardrobe 2 | BST,GEO,WHM,DRG,NIN,COR,BLU,DNC,MNK,RDM,RNG,PUP,SMN,RUN,THF,WAR,SCH,BLM,BRD,PLD,SAM      |                                           etiolation earring
        Ground. Mantle +1 |        153 |                 Case | COR,DNC,RDM,RNG,RUN,WAR,BRD                                                              |                                           grounded mantle +1
         Zennaroi Earring |        153 |           Wardrobe 2 | BST,GEO,WHM,DRG,NIN,BLU,DNC,MNK,RNG,SMN,RUN,THF,WAR,SCH,BLM,BRD,PLD,SAM                  |                                             zennaroi earring
           Patricius Ring |        156 |           Wardrobe 2 | BST,GEO,WHM,DRG,NIN,COR,BLU,DNC,MNK,RDM,RNG,SMN,RUN,THF,WAR,SCH,BLM,BRD,PLD,SAM          |                                               patricius ring
        Sulev. Cuisses +2 |        156 |           Wardrobe 4 | DRG,WAR,PLD                                                                              |                                         Sulevia's cuisses +2
        Cacoethic Ring +1 |        164 |           Wardrobe 2 | BST,GEO,WHM,DRG,NIN,COR,BLU,DNC,MNK,RDM,RNG,PUP,SMN,RUN,THF,WAR,SCH,BLM,BRD,PLD,SAM      |                                            cacoethic ring +1
             Amar Cluster |        168 |           Wardrobe 3 | BST,WHM,DRG,BLU,MNK,RDM,RUN,SCH,BLM,PLD                                                  |                                                 amar cluster
           Sailfi Belt +1 |        169 |             Wardrobe | BST,DRG,NIN,COR,BLU,DNC,RDM,RNG,RUN,THF,WAR,BRD,PLD,SAM                                  |                                               sailfi belt +1
         Emicho Gauntlets |        172 |           Wardrobe 4 | BST,DRG,WAR,PLD                                                                          |                                             emicho gauntlets
       Elite Royal Collar |        174 |             Wardrobe | BST,GEO,WHM,DRG,NIN,COR,BLU,DNC,MNK,RDM,RNG,PUP,SMN,RUN,THF,WAR,SCH,BLM,BRD,PLD,SAM      |                                           elite royal collar
         Meg. Chausses +2 |        176 |               Locker | BST,COR,DNC,RNG,RUN,THF                                                                  |                                        meghanada chausses +2
       Meghanada Visor +2 |        189 |               Locker | BST,COR,DNC,RNG,RUN,THF                                                                  |                                           meghanada visor +2
       Carmine Cuisses +1 |        189 |           Wardrobe 4 | DRG,COR,BLU,RDM,RNG,RUN,PLD                                                              |                                           carmine cuisses +1
           Defending Ring |        195 |           Wardrobe 2 | BST,GEO,WHM,DRG,NIN,COR,BLU,DNC,MNK,RDM,RNG,PUP,SMN,RUN,THF,WAR,SCH,BLM,BRD,PLD,SAM      |                                               defending ring
        Bladeborn Earring |        196 |           Wardrobe 2 | BST,GEO,WHM,DRG,NIN,BLU,DNC,MNK,RNG,PUP,SMN,RUN,THF,WAR,SCH,BLM,BRD,PLD,SAM              |                                            bladeborn earring
              Odr Earring |        203 |                 Case | NIN,COR,BLU,MNK,THF                                                                      |                                                  Odr earring
          Ishvara Earring |        209 |           Wardrobe 2 | GEO,WHM,DRG,NIN,COR,BLU,DNC,MNK,RDM,RNG,PUP,SMN,RUN,THF,WAR,SCH,BLM,BRD,PLD              |                                              ishvara earring
         Herculean Gloves |        211 |                 Case | NIN,COR,BLU,DNC,MNK,RNG,RUN,THF                                                          |                                             herculean gloves
         Rep. Plat. Medal |        212 |             Wardrobe | BST,GEO,WHM,DRG,NIN,COR,BLU,DNC,MNK,RDM,RNG,PUP,SMN,RUN,THF,WAR,SCH,BLM,BRD,PLD,SAM      |                                    republican platinum medal
           Digni. Earring |        217 |           Wardrobe 2 | GEO,WHM,DRG,NIN,BLU,RDM,RNG,SMN,RUN,WAR,SCH,BLM,BRD,SAM                                  |                                          dignitary's earring
              Olseni Belt |        226 |             Wardrobe | BST,GEO,WHM,DRG,NIN,BLU,DNC,MNK,RNG,SMN,RUN,THF,WAR,SCH,BLM,BRD,SAM                      |                                                  olseni belt
            Niqmaddu Ring |        227 |           Wardrobe 2 | DRG,MNK,PUP,RUN,WAR,SAM                                                                  |                                                Niqmaddu ring
             Fotia Gorget |        242 |             Wardrobe | BST,GEO,WHM,DRG,NIN,COR,BLU,DNC,MNK,RDM,RNG,PUP,SMN,RUN,THF,WAR,SCH,BLM,BRD,PLD,SAM      |                                                 fotia gorget
               Fotia Belt |        243 |             Wardrobe | BST,GEO,WHM,DRG,NIN,COR,BLU,DNC,MNK,RDM,RNG,PUP,SMN,RUN,THF,WAR,SCH,BLM,BRD,PLD,SAM      |                                                   fotia belt
          Cornelia's Ring |        247 |           Wardrobe 4 | BST,GEO,WHM,DRG,NIN,COR,BLU,DNC,MNK,RDM,RNG,PUP,SMN,RUN,THF,WAR,SCH,BLM,BRD,PLD,SAM      |                                              Cornelia's ring
       Epaminondas's Ring |        248 |           Wardrobe 2 | BST,GEO,WHM,DRG,NIN,COR,BLU,DNC,MNK,RDM,RNG,PUP,SMN,RUN,THF,WAR,SCH,BLM,BRD,PLD,SAM      |                                           Epaminondas's ring
           Meg. Gloves +2 |        252 |              Satchel | BST,COR,DNC,RNG,RUN,THF                                                                  |                                          meghanada gloves +2
             Epona's Ring |        259 |           Wardrobe 2 | BST,NIN,COR,BLU,DNC,MNK,RNG,PUP,RUN,THF                                                  |                                                 Epona's ring
       Flam. Zucchetto +2 |        270 |           Wardrobe 3 | DRG,WAR,PLD,SAM                                                                          |                                          flamma zucchetto +2
         Sarissapho. Belt |        271 |             Wardrobe | BST,DRG,NIN,COR,BLU,DNC,RNG,THF,BRD,PLD                                                  |                                           sarissaphoroi belt
               Regal Ring |        274 |           Wardrobe 2 | BST,DRG,NIN,COR,DNC,MNK,RNG,PUP,RUN,THF,WAR,PLD,SAM                                      |                                                   regal ring
          Sherida Earring |        321 |           Wardrobe 2 | BST,DRG,DNC,MNK,RDM,RNG,RUN,THF                                                          |                                              Sherida earring
             Meg. Jam. +2 |        323 |                 Sack | BST,COR,DNC,RNG,RUN,THF                                                                  |                                        meghanada jambeaux +2
